"% Correct","٪ ﺺﻴﺣ:"
"+ Add User to Group",""
"+ Create a New Form",""
"+ Create a New Group",""
"+ Create a New User",""
"About",""
"Accuracy","ﺎﻟﺪﻗﺓ:"
"Accuracy Level",""
"Accuracy Level:","ﻢﺴﺗﻭﻯ ﺎﻟﺪﻗﺓ:"
"Activity",""
"Add Class","ﺈﺿﺎﻓﺓ ﺺﻓ"
"Add New User",""
"Add Student","ﺈﺿﺎﻓﺓ ﻁﺎﻠﺑ"
"Add User to Group",""
"An update is available. Be sure to first sync your data before installing the update. If you have not done this, click `Cancel`. If you are ready to install the update, click `Yes`","ﺎﻠﺘﺣﺪﻴﺛ ﺄﺼﺒﺣ ﺝﺎﻫﺯًﺍ. ﺕﺄﻛﺩ ﺃﻭﻻ ﻢﻧ ﺖﺤﻤﻴﻟ ﺞﻤﻴﻋ ﺐﻳﺎﻨﺘﻛ ﻖﺒﻟ ﻊﻤﻠﻳﺓ ﺎﻠﺘﺣﺪﻴﺛ.. ﺇﺫﺍ ﻞﻣ ﺖﻘﻣ ﺐﺘﺤﻤﻴﻟ ﺎﻠﺒﻳﺎﻧﺎﺗ ﺎﻀﻐﻃ ﻊﻟﻯ ﺯﺭ`ﺈﻠﻏﺍﺀ`. ﺇﺫﺍ ﻖﻤﺗ ﺐﺘﺤﻤﻴﻟ ﺐﻳﺎﻨﺘﻛ ﻮﺟﺎﻫﺯ ﻞﻠﺘﺣﺪﻴﺛ ﺎﻀﻐﻃ ﺯﺭ `ﻡﻭﺎﻔﻗ ﺃﻭ ﻦﻌﻣ`"
"Applying Updates...","ﺝﺍﺮﻳ ﺎﻠﺘﺣﺪﻴﺛ..."
"April",""
"Are you sure you want to restore this backup? It will wipe any data already in Tangerine.",""
"Are you sure you want to start a form response?","ﻪﻟ ﺄﻨﺗ ﻢﺗﺄﻛﺩ ﻢﻧ ﺎﻠﺑﺩﺀ ﺐﺘﻌﺒﺋﺓ ﺲﺠﻟ ﺖﻘﻴﻴﻣ ﺝﺪﻳﺩ؟"
"Are you sure you would like to exit the form?","ﻪﻟ ﺄﻨﺗ ﻢﺗﺄﻛﺩ ﻢﻧ ﺮﻐﺒﺘﻛ ﻒﻳ ﺎﻠﺧﺭﻮﺟ ﻢﻧ ﺲﺠﻟ ﺎﻠﺘﻘﻴﻴﻣ؟"
"August",""
"Average",""
"Average Correct"," ﻢﺗﻮﺴﻃ ﺍﻺﺟﺎﺑﺎﺗ ﺎﻠﺼﺤﻴﺣﺓ "
"Average Correct (%)","ﻢﺗﻮﺴﻃ ﺍﻺﺟﺎﺑﺎﺗ ﺎﻠﺼﺤﻴﺣﺓ (٪)"
"Backup directory",""
"Before continuing, let's review this info to make sure you registered with the right device info.",""
"Camera authorized.",""
"Case",""
"Cases",""
"Check for Update","ﺖﺤﻘﻗ ﻢﻧ ﺎﻠﺘﺣﺪﻴﺛ"
"Checking","ﺎﻠﺘﺤﻘﻗ ﻢﻧ ﻮﺟﻭﺩ ﺎﻠﺘﺣﺪﻴﺛ"
"Checking For Updates...","ﺝﺍﺮﻳ ﺎﻠﺒﺤﺛ ﻊﻧ ﺖﺣﺪﻴﺛﺎﺗ..."
"Choose a task report from one of the following selections:",""
"Choose type...",""
"Choose which case type",""
"Class Grouping",""
"Class Size","ﻉﺩﺩ ﺎﻠﻄﻠﺑﺓ ﻒﻳ ﺎﻠﺼﻓ..."
"Class grouping","ﺖﺼﻨﻴﻓ ﺎﻠﺼﻓ"
"Click a Picture","ﺎﻀﻐﻃ ﻊﻟﻯ ﺎﻠﺻﻭﺭﺓ"
"Click on a percentile to view related feedback.",""
"Click the play button to get started.","ﺎﻀﻐﻃ ﻊﻟﻯ ﺯﺭ ﺎﺑﺩﺃ ."
"Click to Download",""
"Close",""
"Close the application completely and re-open.",""
"Complete",""
"Completed?",""
"Concerning",""
"Confirm New Password","ﺕﺄﻛﺩ ﻢﻧ ﻚﻠﻣﺓ ﺎﻠﺳﺭ ﺎﻠﺟﺪﻳﺩﺓ"
"Confirm Password","ﺕﺄﻛﺩ ﻢﻧ ﻚﻠﻣﺓ ﺎﻠﺳﺭ"
"Confirm Password is required",""
"Continue",""
"Correct","ﺺﺤﻴﺣ"
"Could Not Contact Server.",""
"Could Not Create User","ﻞﻣ ﻲﺘﻤﻜﻧ ﻢﻧ ﺈﻨﺷﺍﺀ ﻢﺴﺘﺧﺪﻣ ﺝﺪﻳﺩ"
"Could Not Generate APK",""
"Could Not Generate PWA",""
"Could Not Load List Of Forms","ﻞﻣ ﻲﺘﻤﻜﻧ ﻢﻧ ﺖﻧﺰﻴﻟ ﻕﺎﺌﻣﺓ ﺎﻠﺴﺟﻼﺗ"
"Create",""
"Create Form","ﺈﻨﺷﺍﺀ ﺲﺠﻟ"
"Create New Case",""
"Creating new case...",""
"Current",""
"Curriculum","ﻢﻨﻫﺎﺟ ﺩﺭﺎﺴﻳ"
"DATA QUERIES",""
"Date and Time","ﺎﻠﺗﺍﺮﻴﺧ ﻭﺎﻟﻮﻘﺗ"
"Day",""
"Day View",""
"December",""
"Device ID",""
"Differences",""
"Distance from reference",""
"Do you have a Device QR code to scan?",""
"Docs Not Uploaded","ﻞﻣ ﻲﺘﻣ ﺖﺤﻤﻴﻟ ﺎﻠﻤﻠﻓﺎﺗ"
"Docs Uploaded","ﺖﺤﻤﻴﻟ ﺎﻠﻤﻠﻓﺎﺗ"
"Does the above info look like the right device info?",""
"Done! Please exit the app and restart.",""
"Download CSV","ﺖﻧﺰﻴﻟ ﻢﻠﻓ CSV"
"Download your APK",""
"EXPORT DATA FOR ALL USERS","ﺈﺻﺩﺍﺭ ﺎﻠﺒﻳﺎﻧﺎﺗ ﻞﺠﻤﻴﻋ ﺎﻠﻤﺴﺘﺧﺪﻤﻴﻧ"
"Edit Item","ﺖﻋﺪﻴﻟ ﺎﻠﻔﻗﺭﺓ"
"Email",""
"Enter your response to above question here","ﺄﺠﺑ ﻊﻧ ﺎﻠﺳﺅﺎﻟ ﺄﻋﻼﻫ ﻪﻧﺍ"
"Error Downloading File",""
"Error restoring db ",""
"Event",""
"Export Backup",""
"Export Data","ﺈﺻﺩﺍﺭ ﺎﻠﺒﻳﺎﻧﺎﺗ"
"Export Data creates a backup of all of your records and saves it to your device.",""
"Failed to download application configuration file",""
"February",""
"Feedback",""
